Labrador Retriever   65  22 Friendly
German Shepherd      75  24 Loyal
Golden Retriever     70  23 Gentle
Bulldog              50  14 Stubborn
Beagle               25  15 Energetic
Poodle               45  22 Intelligent
Rottweiler           95  26 Confident
Yorkshire Terrier    7   7  Bold
Boxer                70  25 Playful
Dachshund            11  8  Curious
Siberian Husky       60  23 Independent
Doberman Pinscher    75  26 Alert
Great Dane           140 32 Gentle
Shih Tzu             10  9  Affectionate
Boston Terrier       15  16 Sociable
Pomeranian           7   7  Active
Border Collie        45  20 Eager
Shetland Sheepdog    20  14 Loyal
Australian Shepherd  55  21 Intelligent
Chihuahua            6   6  Sassy
